id,review,aspect,sentiment
3121,But the staff was so horrible to us.,staff,negative
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral
2846,"Not only was the food outstanding, but the little 'perks' were great.",food,positive
2846,"Not only was the food outstanding, but the little 'perks' were great.",perks,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete_with_sausage_and_chicken,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",bagels,positive
2391,Nevertheless the food itself is pretty good.,food,positive
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral
2200,The design and atmosphere is just as good.,design,positive
2200,The design and atmosphere is just as good.,atmosphere,positive
3195,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive
3359,The pizza is the best if you like thin crusted pizza.,pizza,positive
3359,The pizza is the best if you like thin crusted pizza.,thin_crusted_pizza,neutral
3534,"All the money went into the interior decoration, none of it went to the chefs.",interior_decoration,positive
3534,"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative
565,"I asked for seltzer with lime, no ice.",seltzer_with_lime,neutral
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection_of_meats_and_seafoods,positive
2227,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral
2227,My suggestion is to eat family style because you'll want to try the other dishes.,eat_family_style,positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive
2191,Faan's got a great concept but a little rough on the delivery.,delivery,negative
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive
388,this little place has a cute interior decor and affordable city prices.,interior_decor,positive
388,this little place has a cute interior decor and affordable city prices.,prices,positive
3373,Two words: Free wine.,wine,positive
425,The price is reasonable although the service is poor.,price,positive
425,The price is reasonable although the service is poor.,service,negative
3192,"The quantity is also very good, you will come out satisfied.",quantity,positive
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi_bar,neutral
2384,The fried rice is amazing here.,fried_rice,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff_pastry_goat_cheese,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad_with_a_delicious_dressing,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger_steak_au_poivre,positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral
3404,it's a perfect place to have a amanzing indian food.,indian_food,positive
2599,The place is so cool and the service is prompt and curtious.,service,positive
2599,The place is so cool and the service is prompt and curtious.,place,positive
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth_with_noodles,positive
648,I just wonder how you can have such a delicious meal for such little money.,meal,positive
648,I just wonder how you can have such a delicious meal for such little money.,money,positive
1623,The wine list is excellent.,wine_list,positive
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",thai_food,positive
1101,They wouldnt even let me finish my glass of wine before offering another.,glass_of_wine,neutral
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral
2783,This is a consistently great place to dine for lunch or dinner.,lunch,neutral
2783,This is a consistently great place to dine for lunch or dinner.,dinner,neutral
2783,This is a consistently great place to dine for lunch or dinner.,dine,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive
2787,Try the lasagnette appetizer.,lasagnette_appetizer,positive
604,I liked the beer selection!,beer_selection,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",food,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",menu,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",service,positive
2911,"Great food, good size menu, great service and an unpretensious setting.",setting,positive
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive
3074,Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,dosa,neutral
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine_list_selection,positive
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive
728,"With the great variety on the menu , I eat here often and never get bored .",menu,positive
2925,The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative
2925,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative
3436,The menu is limited but almost all of the dishes are excellent.,menu,negative
3436,The menu is limited but almost all of the dishes are excellent.,dishes,positive
3273,Not too crazy about their sake martini.,sake_martini,negative
1215,"Great bagels, spreads and a good place to hang out in.",bagels,positive
1215,"Great bagels, spreads and a good place to hang out in.",spreads,positive
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive
3207,We always have a delicious meal and always leave feeling satisfied.,meal,positive
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral
2972,First went here to enjoy their garden terrace.,garden_terrace,positive
1755,The pizza was pretty good and huge.,pizza,positive
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative
1688,All my co-workers were amazed at how small the dish was.,dish,negative
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled_branzino,negative
3083,"The wait staff is friendly, and the food has gotten better and better!",wait_staff,positive
3083,"The wait staff is friendly, and the food has gotten better and better!",food,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",french_food,positive
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater_menu,positive
1383,I also ordered for delivery and the restaurant forgot half the order.,delivery,negative
1383,I also ordered for delivery and the restaurant forgot half the order.,order,negative
892,Our server checked on us maybe twice during the entire meal.,server,negative
892,Our server checked on us maybe twice during the entire meal.,meal,neutral
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative
3423,We had the lobster sandwich and it was FANTASTIC.,lobster_sandwich,positive
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell_crab,positive
2804,Deep Fried Skewers are good and still rare to find in NYC.,deep_fried_skewers,positive
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice_dishes,positive
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee_(rice_porridge),positive
2747,Their tuna tartar appetizer is to die for.,tuna_tartar_appetizer,positive
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish_dishes,positive
